file,mode,source,target,reference
en_6ps9_76,written,15.4791154791,11.3268608414,25.6
en_4ps14_53,written,5.4054054054,13.4042553191,22.2
en_1ps4_4,written,9.8039215686,8,14
en_9ps7_119,written,9.900990099,14.1176470588,16
en_9ps3_115,written,9.1906721536,11.6504854369,19.5555555556
en_6ps11_78,written,13.597733711,10.2325581395,19
en_6ps10_77,written,15.0966183575,20.7142857143,37.4285714286
en_1ps12_12,written,12.3209169054,13.5283363803,7.6666666667
en_4ps5_44,written,7.3446327684,12.8104575163,20.4453441296
en_2ps10_23,written,6.9672131148,11.9081779053,13.6666666667
en_6ps15_82,written,10.1960784314,37.4631268437,23.8
en_5ps8_61,written,21.0412147505,8.8957055215,17.4
en_2ps16_29,written,7.2072072072,12.2994652406,17.6
en_9ps9_121,written,12.0145631068,17.994100295,20.1111111111
en_3ps8_38,written,8.4175084175,18.4300341297,18.6666666667
en_2ps5_18,written,8.6330935252,14.6666666667,21.6
en_9ps8_120,written,11.8601747815,16.7381974249,30.4
en_3ps5_35,written,8.0341880342,37.015503876,12.8508124077
en_6ps6_73,written,21.4545454545,17.6470588235,23.6666666667
en_4ps3_42,written,5.8620689655,25,28.4
en_9ps6_118,written,14.9253731343,17.7725118483,23
en_1ps10_10,written,11.6634799235,8.0152671756,23.3333333333
en_1ps13_13,written,11.7647058824,11.2944162437,21.5555555556
en_8ps1_106,written,13.468013468,10.9756097561,18.4
en_1ps2_2,written,10.1796407186,17.7777777778,21.2
en_2ps8_21,written,3.2967032967,29.2899408284,11.3333333333
en_6ps3_70,written,16.43454039,12.0634920635,21.75
en_2ps9_22,written,4.8672566372,10.5263157895,20.25
en_6ps5_72,written,16.1290322581,9.9337748344,36.8333333333
en_9ps1_113,written,10.9259259259,5.7803468208,19.6
en_3ps1_31,written,4.5662100457,11.2727272727,33.1428571429
en_1ps6_6,written,15.8392434988,22.305764411,18.4
en_5ps4_57,written,15.8081705151,13.2743362832,28.9473684211
en_5ps14_67,written,15.2647975078,25.7978723404,27.6666666667
en_4ps1_40,written,7.8651685393,9.8461538462,18
en_5ps3_56,written,13.6929460581,17.2413793103,18.2222222222
en_5ps10_63,written,15.4574132492,14.8969889065,9.3275488069
en_5ps2_55,written,12.4705882353,19.8529411765,15
en_9ps4_116,written,17.8571428571,10.7382550336,18.2
en_8ps4_109,written,15.7894736842,7.0175438596,15.3333333333
en_4ps10_49,written,5.2816901408,16.796875,10
en_8ps2_107,written,10.3703703704,25.4079254079,20.3333333333
en_4ps13_52,written,3.8596491228,7.5718015666,22.8
en_4ps12_51,written,6.8136272545,13.3333333333,18
en_4ps7_46,written,5.5555555556,13.0630630631,11.3333333333
en_12ps2_139,written,27.9411764706,21.5827338129,34.5714285714
en_5ps6_59,written,16.0183066362,9.4339622642,6.3333333333
en_10ps6_128,written,9.4674556213,20.3045685279,42.1176470588
en_4ps2_41,written,8.8311688312,18.6813186813,33.4269662921
en_9ps10_122,written,12.6582278481,11.1386138614,21
en_2ps2_15,written,3.7735849057,16.6037735849,31.1666666667
en_8ps5_110,written,2.2471910112,19.347826087,34.3333333333
en_4ps11_50,written,8.7209302326,9.8360655738,21
en_2ps6_19,written,6.4814814815,13.2,31.6062176166
en_6ps12_79,written,12.2340425532,11.1464968153,30.5
en_12ps1_138,written,29.044834308,13.6585365854,18.8
en_10ps2_124,written,9.2413793103,11.7647058824,29.4
en_3ps4_34,written,4.5751633987,15.3005464481,27.2
en_6ps2_69,written,18.5393258427,22.5316455696,14.2
en_5ps1_54,written,11.2,14.0211640212,22.6
en_8ps6_111,written,11.1111111111,20.3418803419,13
en_2ps12_25,written,7.8125,21.6216216216,18.9686924494
en_8ps7_112,written,9.2105263158,8.3870967742,19
en_1ps11_11,written,8.3333333333,23.865877712,27
en_10ps4_126,written,12.3519458545,11.7845117845,19
en_3ps2_32,written,8.3421330517,11.914893617,35.5
en_12ps3_140,written,27.6335877863,19.9300699301,18.8
en_5ps12_65,written,20.5405405405,9.756097561,11.6504854369
