file,mode,source,target,reference
en_10ps1_123,written,3.056768559,3.9130434783,4.2
en_10ps2_124,written,2.4827586207,2.5232403718,2.25
en_10ps3_125,written,5.2447552448,3.0150753769,5.7142857143
en_10ps4_126,written,3.3840947547,2.2187004754,4.3333333333
en_10ps5_127,written,2.972972973,4.3256997455,3
en_10ps6_128,written,8.2840236686,5.3672316384,2.8260869565
en_10ps7_129,written,2.7586206897,4,1.8
en_12ps1_138,written,11.306042885,7.1705426357,8.5
en_12ps2_139,written,10.3092783505,7.1530758226,5.2
en_12ps3_140,written,9.1603053435,6.3421828909,2.4
en_12ps4_141,written,9.9348534202,6.4465408805,4.8
en_12ps5_142,written,11.9584055459,7.4324324324,4.8
en_12ps6_143,written,14.6341463415,8.5080147965,15.0588235294
en_1ps1_1,written,16.3636363636,8.1447963801,2.5782688766
en_1ps10_10,written,11.2810707457,7.0476190476,6.6666666667
en_1ps11_11,written,11.5942028986,8.865248227,4.2222222222
en_1ps12_12,written,10.6017191977,7.1428571429,5
en_1ps13_13,written,10.3403141361,7.7333333333,6.3333333333
en_1ps2_2,written,10.7784431138,14.6341463415,2.75
en_1ps3_3,written,10.2040816327,5.6506849315,8
en_1ps4_4,written,10.5392156863,5.9405940594,4
en_1ps5_5,written,13.7065637066,7.4950690335,3.5555555556
en_1ps6_6,written,10.1895734597,7.9439252336,7.1666666667
en_1ps7_7,written,15.7142857143,11.1888111888,10.5
en_1ps8_8,written,13.4110787172,8.9020771513,3.7777777778
en_1ps9_9,written,13.503649635,8.6397058824,0.8
en_2ps1_14,written,4.5454545455,0,7
en_2ps10_23,written,4.1152263374,1.7391304348,2.7950310559
en_2ps11_24,written,4.6296296296,8.4905660377,5.7142857143
en_2ps12_25,written,3.515625,3.6585365854,4.5
en_2ps13_26,written,1.2048192771,3.7037037037,4.3333333333
en_2ps14_27,written,5,2.8985507246,4.8
en_2ps15_28,written,1.4388489209,2.1897810219,2.8888888889
en_2ps16_29,written,2.7027027027,2.7272727273,4
en_2ps17_30,written,6.4356435644,4.6153846154,2.6315789474
en_2ps2_15,written,1.2578616352,1.2820512821,4.6666666667
en_2ps3_16,written,1.9230769231,2,4.2
en_2ps4_17,written,3.9473684211,6.711409396,5
en_2ps5_18,written,6.8345323741,5.5147058824,6.8571428571
en_2ps6_19,written,3.2407407407,1.9512195122,6.0606060606
en_2ps7_20,written,4.8507462687,2.2641509434,5.1666666667
en_2ps8_21,written,3.2967032967,0,11.7647058824
en_2ps9_22,written,0.4444444444,1.4018691589,3.6666666667
en_3ps1_31,written,3.9573820396,3.1897926635,5.2
en_3ps2_32,written,4.8677248677,2.6997840173,10.393258427
en_3ps3_33,written,4,4.6242774566,1.8333333333
en_3ps4_34,written,1.6393442623,1.3559322034,2
en_3ps5_35,written,5.4794520548,4.0421792619,3.1666666667
en_3ps6_36,written,3.1686859273,2.9636711281,2.4444444444
en_3ps7_37,written,3.9215686275,3.9702233251,3
